type,code,content
alarm,55,Offside switch is Offside switch in upper and Please check whether the offside switch in upper abnormal lower Sub-arm POT5 is OFF and lower Sub-arm POT5 is abnormal. Machine position exceeds the safe area Please enter into the free operation screen to execute free operation to make the machine moved to safe area
alarm,60,Cycle overtime Traveling axis does not move to Please confirm the overall speed and the speed the set value. setting of the points. Please confirm the set value of cycle monitoring timer (T23).
alarm,61,Cycle overtime The front and rear position of Please confirm the overall speed and the speed main arm does not move to the setting of the points. set value. Please confirm the set value of cycle monitoring timer (T23).
alarm,62,Cycle overtime The upper and lower axis of Please confirm the overall speed and the speed main arm does not move to the setting of the points. set value. Please confirm the set value of cycle monitoring timer (T23).
alarm,63,Cycle overtime The front and rear position of Please confirm the overall speed and the speed Sub-arm does not move to the setting of the points. set value. Please confirm the set value of cycle monitoring timer (T23).
alarm,64,Cycle overtime The upper and lower axis of Please confirm the overall speed and the speed Sub-arm does not move to the setting of the points. set value. Please confirm the set value of cycle monitoring timer (T23).
alarm,65,Cycle overtime Posture axis does not move to Please confirm the overall speed and the speed the set value. setting of the points. Please confirm the set value of cycle monitoring timer (T23).
alarm,66,Cycle overtime Revolving axis does not move Please confirm the overall speed and the speed to the set value. setting of the points. Please confirm the set value of cycle monitoring timer (T23).
alarm,68,Cycle overtime Posture return limit (X08) is not Confirm the action of posture cylinder by manual ON operation. Please adjust the speed of speed control valvefor posture return and perform point inspection for the action status and wiring of X08 limit switch.
alarm,69,Cycle overtime Posture action limit (X09) is Confirm the action of posture cylinder by manual not ON operation. Please adjust the speed of speed control valvefor posture return and perform point inspection for the action status and wiring of X09 limit switch.
alarm,70,"Cycle overtime Decline command of release Decline action cannot be performed at release side. side (RD) is not ON Please confirm the signal of linking device, and the"
alarm,71,"Cycle overtime Centre forward limit (ME) is Please confirm the action of centre by manual not ON operation. wiring between point inspection device and knockout machine. Perform point inspection for the action status and wiring of ME limit switch. When the injection molding machine side has no abnormal phenomenon, please perform point inspection for the signal interlocking wiring between injection molding machine and knockout machine."
alarm,72,not ON operation. Cycle overtime Swinging return limit (X17) is Confirm the action of posture cylinder by manual
alarm,73,
alarm,74,
alarm,75,
alarm,080,
alarm,081,Please adjust the speed of speed control valvefor swinging return and perform point inspection for the action status and wiring of X17 limit switch. Cycle overtime Swinging action limit (X18) is Confirm the action of posture cylinder by manual not ON operation. Please adjust the speed of speed control valvefor action return limit and perform point inspection for the action status and wiring of X18 limit switch. Cycle overtime Mould open signal is not OFF Detect whether the mould open signal is abnormal within the set time Or whether the program instruction signal is abnormal and it make the program not continue Cycle overtime Mould open signal is not ON Detect whether the mould open signal is abnormal within the set time Or whether the program instruction signal is abnormal and it make the program not continue Forming machine Full-automatic signal MA of Running status and interlocking wiring of forming automatic abnormal forming machine is abnormal machine Forming machine exists from automatic status Centre forward No mould open completion Please check the mould open completion signal or abnormal signal the set cycle period is too short Centre forward cannot be executed Program instruction Before the product is Please check whether product confirmation
alarm,082,abnormal confirmed@ detection command is omitted before mould close Mould close output is allowed signal is output in the instruction program. Point setting is Interference prevention Please confirm the set value of front and rear axis
alarm,91,"abnormal memory ON of main arm, and the front and rear axis of"
alarm,100,
alarm,101,
alarm,102,
alarm,103,
alarm,104,
alarm,105,Clamp error vacuum confirmation 1(X05) Please perform point inspection for the set value Sub-arm. abnormal Clamp error and wiring of vacuum generation unit and vacuum confirmation after point inspection for sucker and tubing. Clamp error vacuum confirmation 2(X13) Please perform point inspection for the set value abnormal Clamp error and wiring of vacuum generation unit and vacuum confirmation after point inspection for sucker and tubing. Clamp error vacuum confirmation 3(X64) Please perform point inspection for the set value abnormal Clamp error and wiring of vacuum generation unit and vacuum confirmation after point inspection for sucker and tubing. Clamp error vacuum confirmation 4(X65) Please perform point inspection for the set value abnormal Clamp error and wiring of vacuum generation unit and vacuum confirmation after point inspection for sucker and tubing. Clamp error Product confirmation 1(X04) Please perform point inspection for the signal and abnormal Clamp error wiring of product confirmation 1(X04). Clamp error Product confirmation 2(X66) Please perform point inspection for the signal and abnormal Clamp error wiring of product confirmation 2(X66).
alarm,106,Clamp error Product confirmation 3(X67) Please perform point inspection for the signal and abnormal Clamp error wiring of product confirmation 3(X67).
alarm,107,Clamp error Product confirmation 3(X67) Please perform point inspection for the signal and abnormal Clamp error wiring of product confirmation 4(X68).
alarm,108,Clamp error Material inlet (X06) abnormal Please perform point inspection for the signal and Clamp error wiring of material inlet confirmation (X06)
alarm,109,Clamp error runner (X12) abnormal Please perform point inspection for the signal and Clamp error wiring of runner confirmation (X12)
alarm,144,"Limit switch is During travel, posture action Please check whether the pressure input for posture abnormal limit (X09) OFF action cylinder is normal; check and confirm the"
alarm,170,"status of electromagnetic valve, as well as the status and wiring of inductive switch (X09) Instruction program The corresponding detection Please check whether the detection command in abnormal has been triggered when the instruction program has error, or whether the electromagnetic valve does not electromagnetic valve control command is act abnormal Instruction program At in-mould posture limit Please check the instruction program@ abnormal mode, posture action cannot be Please make the arm in mould area ascent the"
alarm,171,"instructed when the ascent limit appropriate position, and then instruct the posture of main arm in mould area is action OFF Instruction program At in-mould posture limit Please check the instruction program@ abnormal mode, posture action cannot be Please instruct the posture action when mould open"
alarm,172,"instructed when the ascent limit is completed @ of Sub-arm in mould area is OFF Instruction program At the mode of horizontal Please check the instruction program@ abnormal standby locking limit mould @, Please instruct the posture action when mould open"
alarm,173,posture action cannot be is completed @ instructed when mould open completion signal is not ON @ Limit switch is Program limit of release side Perform point inspection for the safety door circuit abnormal area is OFF of injection molding machine and the signal
alarm,199,Safe door of injection molding interlocking wiring between knockout machine~ machine (MD) is also OFF; injection molding machine. input of injection molding machine is abnormal
axis_alarm,01,ROM/RAM error The electronic part of servo Please exchange the servo driver. driver is found to be abnormal
axis_alarm,08,- Origin limit is not OFF when Please check the action status•wiring of origin limit origin search and connection•wiring of encoder• encoder cable. Please exchange the servo substrate or servo driver if there is no abnormal phenomenon.
axis_alarm,09,Origin limit is ON Origin limit is not OFF after Please check the action status•wiring of origin limit (beyond the origin) leaving the origin and connection•wiring of encoder• encoder cable. Please exchange the servo substrate or servo driver if there is no abnormal phenomenon.
axis_alarm,10,Origin limit is OFF at Origin limit is OFF when origin Please check the action status•wiring of origin limit the origin position movement is completed. and connection•wiring of encoder• encoder cable. Please exchange the servo substrate or servo driver if there is no abnormal phenomenon.
axis_alarm,11,"Offside limit is ON Offside limit is ON Please check the action status•wiring of offside limit and the set value of position. Press [reset] key to eliminate the alarm, and free operation or home return can be used for avoidance."
axis_alarm,32,Absolute origin is not The origin of absolute encoder Please perform origin setting. set is not set.
axis_alarm,33,Communication of Axial CPU and acting CPU Please exchange the servo driver. servo driver is communication is found to be abnormal. abnormal.
axis_alarm,47,TS-NET command Receiving error is detected for Please inspect the communication wiring and receiving is abnormal. TS-NET communication connector.
axis_alarm,49,Driver alarm Alarm is found at driver side Please inspect the driver. ■Alarm
inappropriate_home,90,"When program limit of take-out side area is OFF, please perform home return operation after it is switched over to operation mode at [home return] position."
inappropriate_home,91,Main arm ascent limit (X03) is OFF Please perform home return operation after it is switched over to operation mode at [home return] position.
inappropriate_home,92,Sub-arm ascent limit (X11) is OFF. Please perform home return operation after it is switched over to operation mode at [home return] position.
inappropriate_home,93,Product confirmation (X04) is ON Please open the product after it is switched over to operation mode at [manual operation] position.
inappropriate_home,94,In-clamp product confirmation (X06) is ON. Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation (X05) is ON
inappropriate_home,95,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation (X05) is ON Please open the product after it is switched over to operation mode at [manual operation] position. When fixed and moving switching mode (FCKO) is available When fixed and moving switching mode (FCKO) is available
inappropriate_home,96,Runnert confirmation (X12) is ON Please open the runner after it is switched over to operation mode at [manual operation] position.
inappropriate_home,97,Posture return limit (X08) is OFF Please perform home return operation after it is switched over to operation mode at [home return] position.
inappropriate_home,98,Please execute segment fetch and exchange by manual operation.
inappropriate_home,99,NT scissor pulling (Y13) is ON Please perform home return operation after it is switched over to operation mode at [home return] position.
inappropriate_home,100,Swinging return limit (X17) is OFF Please perform home return operation after it is switched over to operation mode at [home return] position.
inappropriate_home,101,Swinging action limit (X18) is OFF Please perform home return operation after it is switched over to operation mode at [home return] position.
inappropriate_home,102,Release side standby position is OFF When release side Please perform home return operation after it is switched over to operation standby mode mode at [home return] position.
inappropriate_home,103,Program limit of release side area is OFF (FCYT) is available When travel Please perform home return operation after it is switched over to operation standby mode mode at [home return] position.
inappropriate_home,104,Posture action limit (X09) is OFF Please perform home return operation after it is switched over to operation mode at [home return] position.
inappropriate_home,105,"Posture action limit (X09) is OFF home return operation is not executed Convert when manual operation, and please execute posture action. (FCYT) is available When travel standby mode (FCYT) is available"
inappropriate_home,106,Posture action limit is OFF Please make arm return to safe area And then execute posture action.
inappropriate_home,108,vacuum confirmation 2 (X13) is ON Please open the product after it is switched over to operation mode at [manual operation] position.
inappropriate_home,109,Automatic operation cannot be performed. Please perform home return operation after it is switched over to operation mode at [home return] position. Inappropriate home Program limit of release side area OFF
inappropriate_home,110,Please perform home return operation after it is switched over to operation mode at [home return] position. Inappropriate home Program limit of release side area OFF Make the robot travel to release side until program limit of release side area is ON via free operation.
inappropriate_home,111,Clamp confirmation is OFF Please confirm that the clamp is indeed installed after it is switched over to operation mode at [manual operation] position.
inappropriate_home,189,"When horizontal standby locking limit mould mode is used, please set the horizontal status of traverse posture Inappropriate home runner confirmation (X12) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home Product confirmation (X04) is at confirmation status"
inappropriate_home,190,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home Product confirmation (X04) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 1 (X05) is at confirmation status
inappropriate_home,191,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 1 (X05) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home In-clamp confirmation (X06) is at confirmation status
inappropriate_home,192,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home In-clamp confirmation (X06) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 2(X13) is at confirmation status
inappropriate_home,193,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 2(X13) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 3(X64) is at confirmation status
inappropriate_home,194,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 3(X64) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 4(X65) is at confirmation status
inappropriate_home,195,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 4(X65) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position.
inappropriate_home,196,vacuum confirmation 2(X66) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 3(X67) is at confirmation status
inappropriate_home,197,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 3(X67) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 4(X68) is at confirmation status
inappropriate_home,198,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 4(X68) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position.
operation_error,01,"Descent action is not completed. When the action of descent completion is shown, please execute the descent operation."
operation_error,02,"ascent action is not completed. When the action of ascent completion is shown, please execute the ascent operation."
operation_error,03,"It does not move at take-out, lowering position. When the action of standby position completion is shown, please execute the retreat operation."
operation_error,04,"It does not move at ascent position. When the action of ascent position completion is shown, please execute the retreat operation."
operation_error,05,"Not the release and descent position. When the action of descent position completion (at release side) is shown, please execute the traverse operation of releaseside."
operation_error,06,"Not the take-out, descent position When the action of take-out standby position is shown, please execute the travel operation at the take-out side."
operation_error,07,Not the take-out side or release side position Execute the travel operation at the release side or take-out side.
operation_error,08,Program limit of take-out side area and program limit of release side area OFF Execute the travel operation at the release side or take-out side.
operation_error,09,Signal for mould open end (MO/X33) OFF Please fully open the mold.
operation_error,10,Safety door (MD OFF) signal OFF Please close the safety door
operation_error,11,Safety door open (MD OFF) Please close the safety door
operation_error,12,release side safety door open (OD OFF) Please close the safety door at release side
operation_error,13,Sub-arm ascent limit (X11) OFF Please execute ascent operation
operation_error,14,Main arm ascent limit (X03) OFF Please execute the ascent operation
operation_error,15,Posture return limit (X08) OFF Please execute posture return operation.
operation_error,16,Posture action limit (X09) OFF Please execute posture action operation. Scissors are available (FCCN) When mode is ON
operation_error,17,"When ascent operation of arm at take-out side, please start to execute clamp operation"
operation_error,18,Sub-arm take-out mode (FCS) is not used The operation of Sub-arm cannot be executed.
operation_error,19,In-clamp scissor mode (FCCN) is not used Clamp scissor operation cannot be executed.
operation_error,20,Posture action mode (FCSS) is not used Posture action operation cannot be executed.
operation_error,21,Main arm take-out mode (FCW) is not used The operation of main arm cannot be executed.
operation_error,22,Main arm take-out mode (FCW) is not ON and used for Sub-arm of the machine. It cannot be set.
operation_error,23,Sub-arm take-out mode (FCS) is not ON for Sub-arm of the machine. It cannot be set.
operation_error,24,"After it is switched to operatioin mode at [home return] position, please perform home return operation."
operation_error,25,"home return operation is not performed, manual operation Please avoid it by free operation."
operation_error,26,Program limit of release side area OFF Please execute traverse action.
operation_error,27,Swinging return limit (X17) OFF Please execute swinging return operation
operation_error,29,Swinging action limit (X18) OFF Please execute swinging action operation
operation_error,30,Swinging mode 1(FCR1) OFF Swinging operation cannot be executed.
operation_error,31,Swinging mode 2 (FCR2) OFF Swinging operation cannot be executed.
operation_error,32,Swinging mode 3 (FCR3) OFF Swinging operation cannot be executed.
operation_error,33,"Swinging mode 1, 2 (FCR1, FCR2) OFF Swinging operation cannot be executed."
operation_error,34,"Swinging mode 2, 3 (FCR2, FCR3) OFF Swinging operation cannot be executed."
operation_error,35,"Swinging mode 1, 2, 3 (FCR1, FCR2, FCR3) OFF Swinging operation cannot be executed."
operation_error,36,In-Sub-arm mould open mode (FCSK) ON Travel operation cannot be executed.
operation_error,37,Slide and take-out free mode (FCCS) OFF Slide action operation cannot be executed.
operation_error,38,Slide action (Y17) ON Please execute slide return.
operation_error,39,Slide action (Y17) OFF Please execute slide return.
operation_error,40,NT scissor mode (FCNT) OFF NT scissor operation cannot be executed.
operation_error,41,NT scissor posture operation cannot be executed.
operation_error,42,Not at NT scissor position Execute travel operation at NT scissor position.
operation_error,43,Not move to NT scissor position Please perform a descent operation.
operation_error,44,Not move to NT scissor standby position Please execute retreat operation.
operation_error,45,Not move to NT scissor forward position Please execute forward operation.
operation_error,46,NT scissor pulling (Y13) OFF Please execute NT pulling action
operation_error,47,NT scissor pulling (Y13) ON Please execute NT pulling return
operation_error,48,Take-out side limit area (X19) OFF Please execute the travel operation at take-out side.
operation_error,49,Swinging return limit (X17) OFF Please execute swinging return operation when free interlocking operation
operation_error,50,Swinging action limit (X18) OFF Please execute swinging action operation when free interlocking operation
operation_error,51,"Posture action limit (X09) OFF Please execute manual operation switch over, posture action operation"
operation_error,52,"Posture action limit (X09) OFF Please execute manual operation switch over, posture action operation"
operation_error,53,"Not posture action position When the action of posture action position movement completion is shown, please execute the forward operation."
operation_error,54,"When the arm at take-out side is subject to decent operation, please start to execute the operation of clamp 2 open."
operation_error,55,Release side standby mode (FCYT) OFF Traverse standby operation cannot be executedwhen release side standy (FCYT) OFF Travel standby operation cannot be executed
operation_error,56,"When free operation is performed for take-outt machine and there is no interference with mould, please move the program limit ON position at release side area."
operation_error,57,Not the posture action position Execute the decent or ascent action when the screen for posture action position movement is displayed
operation_error,60,NT cutting free mode (FCNF) is not used NT cutting operation cannot be performed
operation_error,61,"Not at the take-out side, NT cutting position Please perform the travel operation at take-out side or NT cutting position."
operation_error,62,"ascent limit (X03,X11) OFF Please perform ascent operation by using free signal linkage operation."
operation_error,63,Posture return limit (X08) OFF Please perform posture return operation by free operation
operation_error,64,Slide and take-out free mode (FCCS2) OFF Slide and take-out position operation cannot be executed.
operation_error,65,Not move to take-out and clamp position Execute forward operation when the action information of take-out and clamp position completion is displayed
operation_error,66,"Product 2-point release mode (FC2K) is not used Clamp 1 open, clamp 2 open operation cannot be performed"
operation_error,67,Slide and take-out action is not completed Please perform slide and take-out operation.
operation_error,69,Not manual mode Please start the operation at manual mode.
operation_error,89,"Please switch over the selective switch beyond [automatic operation], and please press [reset] key."
operation_error,116,"Packing counter cannot be cleared. When manual operation, packing counter can be cleared when take-out side or ascent limit (X03, X11) is ON When automatic operation, after take-out side or product is open, packing counter can be cleared when return."
operation_error,117,Not at release side position Please perform travel standby operation before the information of travel standby position movement completion is displayed.
operation_error,119,"Mould open end (MO) signal is OFF Make the robot move to release side by free operation, and it shall not interfere with mold. After it is confirmed that there is no interference, press reset key and the signal of mould close permission will be output."
operation_error,120,Please firstly open the mould and then execute the operation.
operation_error,121,Please firstly confirm that the jig is vertical and then execute the operation.
operation_error,122,Please firstly confirm that the jig is horizontal and then execute the operation.
operation_error,123,Traverse to dangerous area The traverse posture is inconsistent with existing posture. Please execute posture status operation until it is consistent with traverse posture under the condition that there is no interference. Then execute the travel operation.
operation_error,124,"Start of in-mould posture limit function Posture operation cannot be executed in mould, and please confirm the mode setting."
operation_error,125,release side safety OD signal is not ON Please confirm whether the release side safety signal is abnormal.
operation_error,126,ascent limit of Take-out side area is OFF Posture action operation cannot be executed.
operation_error,127,"Arm is not at ascent limit Please firstly ascent to appropriate position manually, and then execute the operation."
operation_error,128,Horizontal standby [locking limit mould] mode is started Please firstly open the mould and then execute the operation.
operation_error,129,Please firstly open the mould and then execute the operation.
operation_error,130,Please firstly execute posture action and then execute the operation.
operation_error,140,Travel exceeds area setting Please execute traverse operation to return to safe area
operation_error,141,Travel exceeds area setting upper limit Please execute traverse operation to return to safe area
operation_error,142,The front and rear position of main arm exceeds area setting lower limit Please execute forward operation of main arm to return to safe area
operation_error,143,The front and rear position of main arm exceeds area setting upper limit Please execute backward operation of main arm to return to safe area
operation_error,144,The upper and lower position of main arm exceeds area setting lower limit Please execute decent operation of main arm to return to safe area
operation_error,145,The upper and lower position of main arm exceeds area setting lower limit Please execute ascent operation of main arm to return to safe area
operation_error,146,The front and rear position of Sub-arm exceeds area setting lower limit Please execute forward operation of Sub-arm to return to safe area
operation_error,147,The front and rear position of Sub-arm exceeds area setting upper limit Please execute backward operation of Sub-arm to return to safe area
operation_error,148,The upper and lower position of Sub-arm exceeds area setting lower limit Please execute decent operation of Sub-arm to return to safe area
operation_error,149,The upper and lower position of Sub-arm exceeds area setting upper limit Please execute ascent operation of Sub-arm to return to safe area
operation_error,150,Please enter into free operation screen or instruction screen to execute axis operation.
operation_error,199,Change the set value in the saved segment fetch and exchange file. Whether the data is saved?
operation_error,200,"Mould open completion (MO) OFF, stepping; return is not completed. Please confirm the input of injection molding machine."
operation_error,201,"Injection molding machine safety door (MD) OFF, stepping; return is not completed. Please confirm the input of injection molding machine."
operation_error,202,"release side decent safety (RD) OFF, stepping; return is not completed. Please confirm the external input."
operation_error,203,"Starting automatic operation in [segment fetch and exchange] screen is not completed. [Segment fetch and exchange] screen disappears, so please do not execute automatic operation. Fan stop alarm The fan in servo driver stops. Please inspect the servo driver."
