code,content
122,Please firstly confirm that the jig is horizontal and then execute the operation.
123,Traverse to dangerous area The traverse posture is inconsistent with existing posture. Please execute posture status operation until it is consistent with traverse posture under the condition that there is no interference. Then execute the travel operation.
124,"Start of in-mould posture limit function Posture operation cannot be executed in mould, and please confirm the mode setting."
125,release side safety OD signal is not ON Please confirm whether the release side safety signal is abnormal.
126,ascent limit of Take-out side area is OFF Posture action operation cannot be executed.
127,"Arm is not at ascent limit Please firstly ascent to appropriate position manually, and then execute the operation."
128,Horizontal standby [locking limit mould] mode is started Please firstly open the mould and then execute the operation.
129,Please firstly open the mould and then execute the operation.
130,Please firstly execute posture action and then execute the operation.
140,Travel exceeds area setting Please execute traverse operation to return to safe area
141,Travel exceeds area setting upper limit Please execute traverse operation to return to safe area
142,The front and rear position of main arm exceeds area setting lower limit Please execute forward operation of main arm to return to safe area
143,The front and rear position of main arm exceeds area setting upper limit Please execute backward operation of main arm to return to safe area
144,The upper and lower position of main arm exceeds area setting lower limit Please execute decent operation of main arm to return to safe area
145,The upper and lower position of main arm exceeds area setting lower limit Please execute ascent operation of main arm to return to safe area
146,The front and rear position of Sub-arm exceeds area setting lower limit Please execute forward operation of Sub-arm to return to safe area
147,The front and rear position of Sub-arm exceeds area setting upper limit Please execute backward operation of Sub-arm to return to safe area
148,The upper and lower position of Sub-arm exceeds area setting lower limit Please execute decent operation of Sub-arm to return to safe area
149,The upper and lower position of Sub-arm exceeds area setting upper limit Please execute ascent operation of Sub-arm to return to safe area
150,Please enter into free operation screen or instruction screen to execute axis operation.
199,Change the set value in the saved segment fetch and exchange file. Whether the data is saved?
200,"Mould open completion (MO) OFF, stepping; return is not completed. Please confirm the input of injection molding machine."
201,"Injection molding machine safety door (MD) OFF, stepping; return is not completed. Please confirm the input of injection molding machine."
202,"release side decent safety (RD) OFF, stepping; return is not completed. Please confirm the external input."
203,"Starting automatic operation in [segment fetch and exchange] screen is not completed. [Segment fetch and exchange] screen disappears, so please do not execute automatic operation. Fan stop alarm The fan in servo driver stops. Please inspect the servo driver."
250,"The service life of knockout machine expires. Acceptance has been performed, and please get the password. Password is input via [password has been accepted]. Chapter B 38.Alarm information 38.1Alarm information function When power is input, the alarm contents expressed when manual operation and automatic operation is abnormal. The types of alarm information are as follows. Type Description System alarm It means that the control system is abnormal. Axis alarm It means that axis control and drive system is abnormal. Alarm There are the following errors: alarm for abnormal condition of limit switch, alarm for abnormal input of injection molding machine, alarm for period expiration, clamp error, product fall, product placement error. 38.2 Description on alarm information System alarm Alarm No./ name Name Contents Confirmation contents"
