code,content
31,Clamp error vacuum confirmation (X05) Please perform point inspection for the set value OFF and wiring of vacuum generation unit and vacuum vacuum confirmation (X05) confirmation after point inspection for sucker and OFF Clamp error tubing.
32,Clamp error runner confirmation (X12) OFF Please perform point inspection for the error status runner confirmation (X12) OFF and wiring of X12 limit Clamp error
33,Clamp error vacuum confirmation 2(X13) Please perform point inspection for the set value OFF Clamp error and wiring of vacuum generation unit and vacuum confirmation after point inspection for sucker and tubing.
35,Product open error Product confirmation (X04) is Please perform point inspection for the action not OFF status and wiring of X04 limit switch Product open error
36,Product open error In-clamp product confirmation Please perform point inspection for the action (X06) is not OFF status and wiring of X06 limit switch Product open error
37,Product open error vacuum confirmation (X05) is The set value action status and wiring of vacuum not OFF confirmation (X05) Product open error
38,runner open error runner confirmation (X12) is Please perform point inspection for the action not OFF status and wiring of X12 limit switch runner open error
39,Product open error vacuum confirmation 2(X13) is The set value action status and wiring of vacuum not OFF confirmation 2(X13) Product open error
41,"Limit switch is Swinging return limit (X17) Please perform point inspection for the action abnormal and swinging action limit (X18) status and wiring of X17, X18 limit switch is on simultaneously"
42,"Limit switch is Program limit of release side Input of injection molding machine is abnormal. abnormal area is OFF simultaneously Please perform point inspection for the wiring of when mould is opened interlocking signal when mould of injection When program limit of release molding machine is opened and between the side area is OFF, mould is knockout machine and injection molding machine. opened (MO/X33) OFF"
43,Limit switch is Clamp installation confirmation Please confirm that the clamp is installed. abnormal OFF Please confirm the installation wiring on clamp exchange unit (OX).
44,Limit switch is Posture return limit (X08) is not Check the switching status when output of posture abnormal ON return electromagnetic valve (Y07) and the work status and wiring of X08 limit switch.
49,"Limit switch is ascent limit (X03, X11) and Please perform point inspection for the action abnormal posture return limit (X08) status and wiring of posture return limit switch."
50,Setting is abnormal Program limit of take-out side Please check the set value of program limit of area is not ON when the take-out side area and the set value of traveling movement of travelling body to axis at slide and take-out position. take-out side is completed
51,Offside switch is Traveling offside switch Please check whether the traveling offside switch abnormal POT1 OFF POT1 is abnormal. Machine position exceeds the safe area Please enter into the free operation screen to execute free operation to make the machine moved to safe area
52,Offside switch is Offside switch in front and Please check whether the offside switch in front abnormal behind main arm POT2 is OFF and behind main arm POT2 is abnormal. Machine position exceeds the safe area Please enter into the free operation screen to execute free operation to make the machine moved to safe area
53,Offside switch is Offside switch in front and Please check whether the offside switch in front abnormal behind Sub-arm POT3 is OFF and behind Sub-arm POT3 is abnormal. Machine position exceeds the safe area Please enter into the free operation screen to execute free operation to make the machine moved to safe area
54,Offside switch is Offside switch in upper and Please check whether the offside switch in upper abnormal lower main arm POT4 is OFF and lower main arm POT4 is abnormal. Machine position exceeds the safe area Please enter into the free operation screen to execute free operation to make the machine moved to safe area
55,Offside switch is Offside switch in upper and Please check whether the offside switch in upper abnormal lower Sub-arm POT5 is OFF and lower Sub-arm POT5 is abnormal. Machine position exceeds the safe area Please enter into the free operation screen to execute free operation to make the machine moved to safe area
60,Cycle overtime Traveling axis does not move to Please confirm the overall speed and the speed the set value. setting of the points. Please confirm the set value of cycle monitoring timer (T23).
61,Cycle overtime The front and rear position of Please confirm the overall speed and the speed main arm does not move to the setting of the points. set value. Please confirm the set value of cycle monitoring timer (T23).
62,Cycle overtime The upper and lower axis of Please confirm the overall speed and the speed main arm does not move to the setting of the points. set value. Please confirm the set value of cycle monitoring timer (T23).
63,Cycle overtime The front and rear position of Please confirm the overall speed and the speed Sub-arm does not move to the setting of the points. set value. Please confirm the set value of cycle monitoring timer (T23).
64,Cycle overtime The upper and lower axis of Please confirm the overall speed and the speed Sub-arm does not move to the setting of the points. set value. Please confirm the set value of cycle monitoring timer (T23).
65,Cycle overtime Posture axis does not move to Please confirm the overall speed and the speed the set value. setting of the points. Please confirm the set value of cycle monitoring timer (T23).
66,Cycle overtime Revolving axis does not move Please confirm the overall speed and the speed to the set value. setting of the points. Please confirm the set value of cycle monitoring timer (T23).
68,Cycle overtime Posture return limit (X08) is not Confirm the action of posture cylinder by manual ON operation. Please adjust the speed of speed control valvefor posture return and perform point inspection for the action status and wiring of X08 limit switch.
69,Cycle overtime Posture action limit (X09) is Confirm the action of posture cylinder by manual not ON operation. Please adjust the speed of speed control valvefor posture return and perform point inspection for the action status and wiring of X09 limit switch.
70,"Cycle overtime Decline command of release Decline action cannot be performed at release side. side (RD) is not ON Please confirm the signal of linking device, and the"
71,"Cycle overtime Centre forward limit (ME) is Please confirm the action of centre by manual not ON operation. wiring between point inspection device and knockout machine. Perform point inspection for the action status and wiring of ME limit switch. When the injection molding machine side has no abnormal phenomenon, please perform point inspection for the signal interlocking wiring between injection molding machine and knockout machine."
72,not ON operation. Cycle overtime Swinging return limit (X17) is Confirm the action of posture cylinder by manual
73,
74,
75,
080,
081,Please adjust the speed of speed control valvefor swinging return and perform point inspection for the action status and wiring of X17 limit switch. Cycle overtime Swinging action limit (X18) is Confirm the action of posture cylinder by manual not ON operation. Please adjust the speed of speed control valvefor action return limit and perform point inspection for the action status and wiring of X18 limit switch. Cycle overtime Mould open signal is not OFF Detect whether the mould open signal is abnormal within the set time Or whether the program instruction signal is abnormal and it make the program not continue Cycle overtime Mould open signal is not ON Detect whether the mould open signal is abnormal within the set time Or whether the program instruction signal is abnormal and it make the program not continue Forming machine Full-automatic signal MA of Running status and interlocking wiring of forming automatic abnormal forming machine is abnormal machine Forming machine exists from automatic status Centre forward No mould open completion Please check the mould open completion signal or abnormal signal the set cycle period is too short Centre forward cannot be executed Program instruction Before the product is Please check whether product confirmation
082,abnormal confirmed@ detection command is omitted before mould close Mould close output is allowed signal is output in the instruction program. Point setting is Interference prevention Please confirm the set value of front and rear axis
91,"abnormal memory ON of main arm, and the front and rear axis of"
100,
101,
102,
103,
104,
105,Clamp error vacuum confirmation 1(X05) Please perform point inspection for the set value Sub-arm. abnormal Clamp error and wiring of vacuum generation unit and vacuum confirmation after point inspection for sucker and tubing. Clamp error vacuum confirmation 2(X13) Please perform point inspection for the set value abnormal Clamp error and wiring of vacuum generation unit and vacuum confirmation after point inspection for sucker and tubing. Clamp error vacuum confirmation 3(X64) Please perform point inspection for the set value abnormal Clamp error and wiring of vacuum generation unit and vacuum confirmation after point inspection for sucker and tubing. Clamp error vacuum confirmation 4(X65) Please perform point inspection for the set value abnormal Clamp error and wiring of vacuum generation unit and vacuum confirmation after point inspection for sucker and tubing. Clamp error Product confirmation 1(X04) Please perform point inspection for the signal and abnormal Clamp error wiring of product confirmation 1(X04). Clamp error Product confirmation 2(X66) Please perform point inspection for the signal and abnormal Clamp error wiring of product confirmation 2(X66).
106,Clamp error Product confirmation 3(X67) Please perform point inspection for the signal and abnormal Clamp error wiring of product confirmation 3(X67).
107,Clamp error Product confirmation 3(X67) Please perform point inspection for the signal and abnormal Clamp error wiring of product confirmation 4(X68).
108,Clamp error Material inlet (X06) abnormal Please perform point inspection for the signal and Clamp error wiring of material inlet confirmation (X06)
109,Clamp error runner (X12) abnormal Please perform point inspection for the signal and Clamp error wiring of runner confirmation (X12)
144,"Limit switch is During travel, posture action Please check whether the pressure input for posture abnormal limit (X09) OFF action cylinder is normal; check and confirm the"
170,"status of electromagnetic valve, as well as the status and wiring of inductive switch (X09) Instruction program The corresponding detection Please check whether the detection command in abnormal has been triggered when the instruction program has error, or whether the electromagnetic valve does not electromagnetic valve control command is act abnormal Instruction program At in-mould posture limit Please check the instruction program@ abnormal mode, posture action cannot be Please make the arm in mould area ascent the"
171,"instructed when the ascent limit appropriate position, and then instruct the posture of main arm in mould area is action OFF Instruction program At in-mould posture limit Please check the instruction program@ abnormal mode, posture action cannot be Please instruct the posture action when mould open"
172,"instructed when the ascent limit is completed @ of Sub-arm in mould area is OFF Instruction program At the mode of horizontal Please check the instruction program@ abnormal standby locking limit mould @, Please instruct the posture action when mould open"
173,posture action cannot be is completed @ instructed when mould open completion signal is not ON @ Limit switch is Program limit of release side Perform point inspection for the safety door circuit abnormal area is OFF of injection molding machine and the signal
199,Safe door of injection molding interlocking wiring between knockout machine~ machine (MD) is also OFF; injection molding machine. input of injection molding machine is abnormal
